#Skill Name|Type Name|Activation Points
Double Hunger|Hunger|-15
Scavenger|Gluttony|+15
Gourmand|Gluttony|+10
Speed Eating +2|Eating|+15
Speed Eating +1|Eating|+10
Slow Eater|Eating|-10
Rationer|Light Eater|+10
Meat Lover|Carnivore|+10
Mushromancer|Mycology|+10
Herbology|Botany|+10
Combination +45%|Combo Rate|+15
Combination +20%|Combo Rate|+10
Combination -10%|Combo Rate|-10
Combination -20%|Combo Rate|-15
Combination Pro|Combo Plus|+10
Trap Master|Speed Setup|+10
Gathering +2|Gathering|+15
Gathering +1|Gathering|+10
Gathering -1|Gathering|-10
Honey Hunter|Honey|+10
Charm Chaser|Charmer|+15
Charm Collector|Charmer|+10
Divine Whim|Whim|+15
Spirit's Whim|Whim|+10
Spectre's Whim|Whim|-10
Devil's Whim|Whim|-15
Miraculous Luck|Fate|+20
Great Luck|Fate|+15
Good Luck|Fate|+10
Bad Luck|Fate|-10
Horrible Luck|Fate|-15
Carving Celebrity|Carving|+15
Carving Pro|Carving|+10
Capture Master|Capturer|+15
Capture Expert|Capturer|+10
Soul of Berna|Berna|+10
Soul of Kokoto|Kokoto|+10
Soul of Pokke|Pokke|+10
Soul of Yukumo|Yukumo|+10
Redhelm Soul|Redhelm|+10
Snowbaron Soul|Snowbaron|+10
Stonefist Soul|Stonefist|+10
Drilltusk Soul|Drilltusk|+10
Dreadqueen Soul|Dreadqueen|+10
Crystalbeard Soul|C.beard|+10
Silverwind Soul|Silverwind|+10
Deadeye Soul|Deadeye|+10
Dreadking Soul|Dreadking|+10
Thunderlord Soul|Thunderlord|+10
Grimclaw Soul|Grimclaw|+10
Hellblade Soul|Hellblade|+10
Pro Dirty Fencer|D. Fencing|+10
Torso Up|Torso Up|0
